,indexes,names,scores
1063,1064,CM_SAL1328_intensity,0.0
1064,1065,SC_SAL1328_intensity,0.0
1065,1066,PC_SAL1328_intensity,0.0
1066,1067,CC_average_SAL1328_intensity,0.0
1067,1068,CC_abs_SAL1328_intensity,0.0
1068,1069,MSE_norm_SAL1328_intensity,0.0
1069,1070,RS_SAL1328_intensity,0.0
1070,1071,PS_SAL1328_intensity,0.0
1071,1072,F1_SAL1328_intensity,0.0
1072,1073,CKS_SAL1328_intensity,0.0
1073,1074,AS_SAL1328_intensity,0.0
1074,1075,VMS_SAL1328_intensity,0.0
1075,1076,MIS_SAL1328_intensity,0.0
1076,1077,HS_SAL1328_intensity,0.0
1077,1078,FMS_SAL1328_intensity,0.0
1078,1079,CS_SAL1328_intensity,0.0
1079,1080,ADR_SAL1328_intensity,0.0
1080,1081,R2_norm_SAL1328_intensity,0.0
1081,1082,MdAE_norm_SAL1328_intensity,0.0
1082,1083,VMS_E3023_Intensity,0.0
1083,1084,FMS_E3023_Intensity,0.0
1084,1085,R2_norm_E3023_Intensity,0.0
1085,1086,CM_E3019_Intensity,0.0
1086,1087,RS_E3019_LFQ-intensity,0.0
1087,1088,PS_E3019_LFQ-intensity,0.0
1088,1089,HL_E3019_LFQ-intensity,0.0
1089,1090,F1_E3019_LFQ-intensity,0.0
1090,1091,MIS_E3019_LFQ-intensity,0.0
1091,1092,FMS_E3019_LFQ-intensity,0.0
1092,1093,CS_E3019_LFQ-intensity,0.0
1093,1094,ADR_E3019_LFQ-intensity,0.0
1094,1095,EVS_norm_E3019_LFQ-intensity,0.0
1095,1096,R2_abs_E3019_LFQ-intensity,0.0
1096,1097,EVS_abs_E3019_LFQ-intensity,0.0
1097,1098,CA_E3019_Intensity,0.0
1098,1099,CM_norm_E3019_Intensity,0.0
1099,1100,SC_E3019_Intensity,0.0
1100,1101,CM_E3019_LFQ-intensity,0.0
1101,1102,CC_max_E3019_Intensity,0.0
1102,1103,CC_abs_E3019_Intensity,0.0
1103,1104,RS_E3019_Intensity,0.0
1104,1105,PS_E3019_Intensity,0.0
1105,1106,F1_E3019_Intensity,0.0
1106,1107,CKS_E3019_Intensity,0.0
1107,1108,AS_E3019_Intensity,0.0
1108,1109,VMS_E3019_Intensity,0.0
1109,1110,MIS_E3019_Intensity,0.0
1110,1111,FMS_E3019_Intensity,0.0
1111,1112,ADR_E3019_Intensity,0.0
1112,1113,MAE_norm_E3019_Intensity,0.0
1113,1114,EVS_norm_E3019_Intensity,0.0
1114,1115,SC_E3019_LFQ-intensity,0.0
1115,1116,CA_E3019_LFQ-intensity,0.0
1116,1117,CA_E3019_iBAQ,0.0
1117,1118,PC_E3019_MS-MS-Count,0.0
1118,1119,RS_E3019_Unique-peptides,0.0
1119,1120,F1_E3019_Unique-peptides,0.0
1120,1121,CKS_E3019_Unique-peptides,0.0
1121,1122,FMS_E3019_Unique-peptides,0.0
1122,1123,CS_E3019_Unique-peptides,0.0
1123,1124,MdAE_norm_E3019_Unique-peptides,0.0
1124,1125,MAE_norm_E3019_Unique-peptides,0.0
1125,1126,EVS_norm_E3019_Unique-peptides,0.0
1126,1127,R2_abs_E3019_Unique-peptides,0.0
1127,1128,MdAE_abs_E3019_Unique-peptides,0.0
1128,1129,MAE_abs_E3019_Unique-peptides,0.0
1129,1130,EVS_abs_E3019_Unique-peptides,0.0
1130,1131,CA_E3019_MS-MS-Count,0.0
1131,1132,CC_average_E3019_MS-MS-Count,0.0
1132,1133,MSE_norm_E3019_MS-MS-Count,0.0
1133,1134,CC_max_E3019_MS-MS-Count,0.0
1134,1135,CC_abs_E3019_MS-MS-Count,0.0
1135,1136,PS_E3019_MS-MS-Count,0.0
1136,1137,HL_E3019_MS-MS-Count,0.0
1137,1138,CKS_E3019_MS-MS-Count,0.0
1138,1139,AS_E3019_MS-MS-Count,0.0
1139,1140,VMS_E3019_MS-MS-Count,0.0
1140,1141,MIS_E3019_MS-MS-Count,0.0
1141,1142,HS_E3019_MS-MS-Count,0.0
1142,1143,FMS_E3019_MS-MS-Count,0.0
1143,1144,CS_E3019_MS-MS-Count,0.0
1144,1145,R2_norm_E3019_MS-MS-Count,0.0
1145,1146,MdAE_norm_E3019_MS-MS-Count,0.0
1146,1147,MSE_abs_E3019_Intensity,0.0
1147,1148,RS_E3019_iBAQ,0.0
1148,1149,MdAE_norm_E3023_Intensity,0.0
1149,1150,MdAE_abs_E3017_MS-MS-Count,0.0
1150,1151,CA_E3017_MS-MS-Count,0.0
1151,1152,CM_norm_E3017_MS-MS-Count,0.0
1152,1153,CM_E3017_MS-MS-Count,0.0
1153,1154,SC_E3017_MS-MS-Count,0.0
1154,1155,CC_average_E3017_MS-MS-Count,0.0
1155,1156,CC_abs_E3017_MS-MS-Count,0.0
1156,1157,RS_E3017_MS-MS-Count,0.0
1157,1158,PS_E3017_MS-MS-Count,0.0
1158,1159,HL_E3017_MS-MS-Count,0.0
1159,1160,VMS_E3017_MS-MS-Count,0.0
1160,1161,MIS_E3017_MS-MS-Count,0.0
1161,1162,FMS_E3017_MS-MS-Count,0.0
1162,1163,MdAE_norm_E3017_MS-MS-Count,0.0
1163,1164,CA_E3017_LFQ-intensity,0.0
1164,1165,MdAE_abs_E3017_Unique-peptides,0.0
1165,1166,CM_norm_E3017_LFQ-intensity,0.0
1166,1167,CM_E3017_LFQ-intensity,0.0
1167,1168,SC_E3017_LFQ-intensity,0.0
1168,1169,CC_max_E3017_LFQ-intensity,0.0
1169,1170,CC_abs_E3017_LFQ-intensity,0.0
1170,1171,RS_E3017_LFQ-intensity,0.0
1171,1172,F1_E3017_LFQ-intensity,0.0
1172,1173,AS_E3017_LFQ-intensity,0.0
1173,1174,VMS_E3017_LFQ-intensity,0.0
1174,1175,ADR_E3017_LFQ-intensity,0.0
1175,1176,R2_norm_E3017_LFQ-intensity,0.0
1176,1177,MSE_norm_E3017_LFQ-intensity,0.0
1177,1178,EVS_norm_E3017_LFQ-intensity,0.0
1178,1179,EVS_abs_E3017_Unique-peptides,0.0
1179,1180,EVS_norm_E3017_Unique-peptides,0.0
1180,1181,PS_E3019_iBAQ,0.0
1181,1182,CM_E3017_Unique-peptides,0.0
1182,1183,HL_E3019_iBAQ,0.0
1183,1184,F1_E3019_iBAQ,0.0
1184,1185,AS_E3019_iBAQ,0.0
1185,1186,VMS_E3019_iBAQ,0.0
1186,1187,HS_E3019_iBAQ,0.0
1187,1188,FMS_E3019_iBAQ,0.0
1188,1189,CS_E3019_iBAQ,0.0
1189,1190,ADR_E3019_iBAQ,0.0
1190,1191,MSE_norm_E3019_iBAQ,0.0
1191,1192,MdAE_abs_E3019_iBAQ,0.0
1192,1193,MAE_abs_E3019_iBAQ,0.0
1193,1194,CA_E3017_Unique-peptides,0.0
1194,1195,CM_norm_E3017_Unique-peptides,0.0
1195,1196,SC_E3017_Unique-peptides,0.0
1196,1197,MAE_norm_E3017_Unique-peptides,0.0
1197,1198,CC_average_E3017_Unique-peptides,0.0
1198,1199,CC_max_E3017_Unique-peptides,0.0
1199,1200,RS_E3017_Unique-peptides,0.0
1200,1201,PS_E3017_Unique-peptides,0.0
1201,1202,HL_E3017_Unique-peptides,0.0
1202,1203,F1_E3017_Unique-peptides,0.0
1203,1204,AS_E3017_Unique-peptides,0.0
1204,1205,VMS_E3017_Unique-peptides,0.0
1205,1206,HS_E3017_Unique-peptides,0.0
1206,1207,FMS_E3017_Unique-peptides,0.0
1207,1208,ADR_E3017_Unique-peptides,0.0
1208,1209,R2_norm_E3017_Unique-peptides,0.0
1209,1210,MSE_norm_E3017_Unique-peptides,0.0
1210,1211,PC_E3019_Unique-peptides,0.0
1211,1212,SC_E3019_Unique-peptides,0.0
1212,1213,CM_E3019_Unique-peptides,0.0
1213,1214,PS_E3021_MS-MS-Count,0.0
1214,1215,FMS_E3021_Unique-peptides,0.0
1215,1216,ADR_E3021_Unique-peptides,0.0
1216,1217,R2_norm_E3021_Unique-peptides,0.0
1217,1218,MdAE_norm_E3021_Unique-peptides,0.0
1218,1219,R2_abs_E3021_Unique-peptides,0.0
1219,1220,MdAE_abs_E3021_Unique-peptides,0.0
1220,1221,MSE_abs_E3021_Unique-peptides,0.0
1221,1222,EVS_abs_E3021_Unique-peptides,0.0
1222,1223,CA_E3021_MS-MS-Count,0.0
1223,1224,CM_E3021_MS-MS-Count,0.0
1224,1225,SC_E3021_MS-MS-Count,0.0
1225,1226,PC_E3021_MS-MS-Count,0.0
1226,1227,CC_max_E3021_MS-MS-Count,0.0
1227,1228,F1_E3021_MS-MS-Count,0.0
1228,1229,AS_E3021_Unique-peptides,0.0
1229,1230,CKS_E3021_MS-MS-Count,0.0
1230,1231,AS_E3021_MS-MS-Count,0.0
1231,1232,VMS_E3021_MS-MS-Count,0.0
1232,1233,MIS_E3021_MS-MS-Count,0.0
1233,1234,FMS_E3021_MS-MS-Count,0.0
1234,1235,CS_E3021_MS-MS-Count,0.0
1235,1236,ADR_E3021_MS-MS-Count,0.0
1236,1237,R2_norm_E3021_MS-MS-Count,0.0
1237,1238,MdAE_norm_E3021_MS-MS-Count,0.0
1238,1239,MSE_norm_E3021_MS-MS-Count,0.0
1239,1240,MAE_norm_E3021_MS-MS-Count,0.0
1240,1241,EVS_norm_E3021_MS-MS-Count,0.0
1241,1242,R2_abs_E3021_MS-MS-Count,0.0
1242,1243,HS_E3021_Unique-peptides,0.0
1243,1244,CKS_E3021_Unique-peptides,0.0
1244,1245,CA_E3019_Unique-peptides,0.0
1245,1246,VMS_E3023_iBAQ,0.0
1246,1247,MSE_norm_E3023_Intensity,0.0
1247,1248,MAE_norm_E3023_Intensity,0.0
1248,1249,EVS_norm_E3023_Intensity,0.0
1249,1250,R2_abs_E3023_Intensity,0.0
1250,1251,EVS_abs_E3023_Intensity,0.0
1251,1252,CA_E3023_iBAQ,0.0
1252,1253,CM_E3023_iBAQ,0.0
1253,1254,SC_E3023_iBAQ,0.0
1254,1255,CC_max_E3023_iBAQ,0.0
1255,1256,RS_E3023_iBAQ,0.0
1256,1257,PS_E3023_iBAQ,0.0
1257,1258,F1_E3023_iBAQ,0.0
1258,1259,AS_E3023_iBAQ,0.0
1259,1260,MIS_E3023_iBAQ,0.0
1260,1261,PS_E3021_Unique-peptides,0.0
1261,1262,HS_E3023_iBAQ,0.0
1262,1263,FMS_E3023_iBAQ,0.0
1263,1264,CS_E3023_iBAQ,0.0
1264,1265,R2_norm_E3023_iBAQ,0.0
1265,1266,EVS_norm_E3023_iBAQ,0.0
1266,1267,MdAE_abs_E3023_iBAQ,0.0
1267,1268,CA_E3021_Unique-peptides,0.0
1268,1269,CM_norm_E3021_Unique-peptides,0.0
1269,1270,CM_E3021_Unique-peptides,0.0
1270,1271,SC_E3021_Unique-peptides,0.0
1271,1272,PC_E3021_Unique-peptides,0.0
1272,1273,CC_average_E3021_Unique-peptides,0.0
1273,1274,CC_abs_E3021_Unique-peptides,0.0
1274,1275,MdAE_abs_E3021_MS-MS-Count,0.0
1275,1276,CA_E3021_LFQ-intensity,0.0
1276,1277,CM_norm_E3021_LFQ-intensity,0.0
1277,1278,SC_E3021_iBAQ,0.0
1278,1279,MIS_E3021_Intensity,0.0
1279,1280,HS_E3021_Intensity,0.0
1280,1281,FMS_E3021_Intensity,0.0
1281,1282,CS_E3021_Intensity,0.0
1282,1283,ADR_E3021_Intensity,0.0
1283,1284,MSE_norm_E3021_Intensity,0.0
1284,1285,MAE_norm_E3021_Intensity,0.0
1285,1286,EVS_norm_E3021_Intensity,0.0
1286,1287,R2_abs_E3021_Intensity,0.0
1287,1288,EVS_abs_E3021_Intensity,0.0
1288,1289,CA_E3021_iBAQ,0.0
1289,1290,CM_norm_E3021_iBAQ,0.0
1290,1291,CM_E3021_iBAQ,0.0
1291,1292,PC_E3021_iBAQ,0.0
1292,1293,CM_E3021_LFQ-intensity,0.0
1293,1294,CC_average_E3021_iBAQ,0.0
1294,1295,CC_max_E3021_iBAQ,0.0
1295,1296,PS_E3021_iBAQ,0.0
1296,1297,HL_E3021_iBAQ,0.0
1297,1298,F1_E3021_iBAQ,0.0
1298,1299,CKS_E3021_iBAQ,0.0
1299,1300,AS_E3021_iBAQ,0.0
1300,1301,MIS_E3021_iBAQ,0.0
1301,1302,ADR_E3021_iBAQ,0.0
1302,1303,MdAE_norm_E3021_iBAQ,0.0
1303,1304,MdAE_abs_E3021_iBAQ,0.0
1304,1305,MSE_abs_E3021_iBAQ,0.0
1305,1306,MAE_abs_E3021_iBAQ,0.0
1306,1307,VMS_E3021_Intensity,0.0
1307,1308,CKS_E3021_Intensity,0.0
1308,1309,F1_E3021_Intensity,0.0
1309,1310,HL_E3021_Intensity,0.0
1310,1311,SC_E3021_LFQ-intensity,0.0
1311,1312,CC_average_E3021_LFQ-intensity,0.0
1312,1313,CC_max_E3021_LFQ-intensity,0.0
1313,1314,CC_abs_E3021_LFQ-intensity,0.0
1314,1315,RS_E3021_LFQ-intensity,0.0
1315,1316,F1_E3021_LFQ-intensity,0.0
1316,1317,CKS_E3021_LFQ-intensity,0.0
1317,1318,AS_E3021_LFQ-intensity,0.0
1318,1319,VMS_E3021_LFQ-intensity,0.0
1319,1320,HS_E3021_LFQ-intensity,0.0
1320,1321,ADR_E3021_LFQ-intensity,0.0
1321,1322,R2_norm_E3021_LFQ-intensity,0.0
1322,1323,MSE_norm_E3021_LFQ-intensity,0.0
1323,1324,MAE_norm_E3021_LFQ-intensity,0.0
1324,1325,EVS_norm_E3021_LFQ-intensity,0.0
1325,1326,R2_abs_E3021_LFQ-intensity,0.0
1326,1327,MdAE_abs_E3021_LFQ-intensity,0.0
1327,1328,MSE_abs_E3021_LFQ-intensity,0.0
1328,1329,CA_E3021_Intensity,0.0
1329,1330,CM_norm_E3021_Intensity,0.0
1330,1331,CM_E3021_Intensity,0.0
1331,1332,SC_E3021_Intensity,0.0
1332,1333,PC_E3021_Intensity,0.0
1333,1334,CC_average_E3021_Intensity,0.0
1334,1335,CC_max_E3021_Intensity,0.0
1335,1336,RS_E3021_Intensity,0.0
1336,1337,PS_E3021_Intensity,0.0
1337,1338,EVS_abs_E3020_iBAQ,0.0
